,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Montevallo,Sam Hunt,190240,False,https://api.spotify.com/v1/tracks/1TwLKNsCnhi1HxbIi4bAW0,1TwLKNsCnhi1HxbIi4bAW0,House Party,74,,3,track,spotify:track:1TwLKNsCnhi1HxbIi4bAW0,0.129,https://api.spotify.com/v1/audio-analysis/1TwLKNsCnhi1HxbIi4bAW0,0.749,190240,0.854,1TwLKNsCnhi1HxbIi4bAW0,0.0,8,0.0262,-5.245,1,0.0503,103.952,4,https://api.spotify.com/v1/tracks/1TwLKNsCnhi1HxbIi4bAW0,audio_features,spotify:track:1TwLKNsCnhi1HxbIi4bAW0,0.841
1,Black,"Dierks Bentley, Elle King",180360,False,https://api.spotify.com/v1/tracks/5HJId22hZ2IvFnvNSy6ZbE,5HJId22hZ2IvFnvNSy6ZbE,Different For Girls,72,,10,track,spotify:track:5HJId22hZ2IvFnvNSy6ZbE,0.445,https://api.spotify.com/v1/audio-analysis/5HJId22hZ2IvFnvNSy6ZbE,0.661,180360,0.785,5HJId22hZ2IvFnvNSy6ZbE,0.000266,4,0.0854,-5.623,1,0.0369,91.975,4,https://api.spotify.com/v1/tracks/5HJId22hZ2IvFnvNSy6ZbE,audio_features,spotify:track:5HJId22hZ2IvFnvNSy6ZbE,0.365
2,If I'm Honest,"Blake Shelton, Gwen Stefani",263800,False,https://api.spotify.com/v1/tracks/6eJBihAzTWRxvvjJWuRQXM,6eJBihAzTWRxvvjJWuRQXM,Go Ahead and Break My Heart (feat. Gwen Stefani),63,https://p.scdn.co/mp3-preview/c9866fa7658bab3d352c94fb20ccfa41fe5f8a9b?cid=452833d434b043269289f61fa9bfbf09,9,track,spotify:track:6eJBihAzTWRxvvjJWuRQXM,0.0714,https://api.spotify.com/v1/audio-analysis/6eJBihAzTWRxvvjJWuRQXM,0.618,263800,0.731,6eJBihAzTWRxvvjJWuRQXM,5.05e-05,7,0.421,-5.181,1,0.0321,116.008,4,https://api.spotify.com/v1/tracks/6eJBihAzTWRxvvjJWuRQXM,audio_features,spotify:track:6eJBihAzTWRxvvjJWuRQXM,0.325
3,Star Of The Show,Thomas Rhett,181200,False,https://api.spotify.com/v1/tracks/0CexLaYHQrvcTZZb8Ra54e,0CexLaYHQrvcTZZb8Ra54e,Star Of The Show,35,,1,track,spotify:track:0CexLaYHQrvcTZZb8Ra54e,0.129,https://api.spotify.com/v1/audio-analysis/0CexLaYHQrvcTZZb8Ra54e,0.69,181200,0.626,0CexLaYHQrvcTZZb8Ra54e,0.0,7,0.169,-5.831,1,0.0275,101.958,4,https://api.spotify.com/v1/tracks/0CexLaYHQrvcTZZb8Ra54e,audio_features,spotify:track:0CexLaYHQrvcTZZb8Ra54e,0.652
4,Ignite the Night (Party Edition),Chase Rice,220454,False,https://api.spotify.com/v1/tracks/1MTEImRXVeL8VTDSDbgW6V,1MTEImRXVeL8VTDSDbgW6V,Carolina Can,62,https://p.scdn.co/mp3-preview/d86ed61943dec3adeac4c86562939c0d6ade94a0?cid=452833d434b043269289f61fa9bfbf09,6,track,spotify:track:1MTEImRXVeL8VTDSDbgW6V,0.0269,https://api.spotify.com/v1/audio-analysis/1MTEImRXVeL8VTDSDbgW6V,0.479,220455,0.642,1MTEImRXVeL8VTDSDbgW6V,0.0,11,0.105,-5.727,1,0.0302,157.981,4,https://api.spotify.com/v1/tracks/1MTEImRXVeL8VTDSDbgW6V,audio_features,spotify:track:1MTEImRXVeL8VTDSDbgW6V,0.368
5,Body Like A Back Road,Sam Hunt,165386,False,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO,7mldq42yDuxiUNn08nvzHO,Body Like A Back Road,86,,1,track,spotify:track:7mldq42yDuxiUNn08nvzHO,0.463,https://api.spotify.com/v1/audio-analysis/7mldq42yDuxiUNn08nvzHO,0.731,165387,0.469,7mldq42yDuxiUNn08nvzHO,1.04e-06,5,0.103,-7.226,1,0.0326,98.963,4,https://api.spotify.com/v1/tracks/7mldq42yDuxiUNn08nvzHO,audio_features,spotify:track:7mldq42yDuxiUNn08nvzHO,0.618
6,This One's for You,Luke Combs,223800,False,https://api.spotify.com/v1/tracks/3UZ9aPaYlBBlAvpdh3kK0U,3UZ9aPaYlBBlAvpdh3kK0U,Hurricane,25,,4,track,spotify:track:3UZ9aPaYlBBlAvpdh3kK0U,0.0165,https://api.spotify.com/v1/audio-analysis/3UZ9aPaYlBBlAvpdh3kK0U,0.443,223800,0.804,3UZ9aPaYlBBlAvpdh3kK0U,2.89e-06,10,0.181,-6.432,1,0.0406,151.928,4,https://api.spotify.com/v1/tracks/3UZ9aPaYlBBlAvpdh3kK0U,audio_features,spotify:track:3UZ9aPaYlBBlAvpdh3kK0U,0.437
8,Tangled Up,Thomas Rhett,227693,False,https://api.spotify.com/v1/tracks/1zWZvrk13cL8Sl3VLeG57F,1zWZvrk13cL8Sl3VLeG57F,T-Shirt,72,,7,track,spotify:track:1zWZvrk13cL8Sl3VLeG57F,0.0318,https://api.spotify.com/v1/audio-analysis/1zWZvrk13cL8Sl3VLeG57F,0.647,227693,0.857,1zWZvrk13cL8Sl3VLeG57F,0.0,2,0.0212,-5.381,1,0.0397,95.996,4,https://api.spotify.com/v1/tracks/1zWZvrk13cL8Sl3VLeG57F,audio_features,spotify:track:1zWZvrk13cL8Sl3VLeG57F,0.757
9,My Kinda Party,Jason Aldean,229413,False,https://api.spotify.com/v1/tracks/0adTN3vBO3pimO3yfxm9vg,0adTN3vBO3pimO3yfxm9vg,Dirt Road Anthem,69,https://p.scdn.co/mp3-preview/2390d32eda81efc4c3d3575db827f0a58570b1b3?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:0adTN3vBO3pimO3yfxm9vg,0.32,https://api.spotify.com/v1/audio-analysis/0adTN3vBO3pimO3yfxm9vg,0.677,229413,0.739,0adTN3vBO3pimO3yfxm9vg,2.36e-06,2,0.12,-5.068,1,0.0352,127.04,4,https://api.spotify.com/v1/tracks/0adTN3vBO3pimO3yfxm9vg,audio_features,spotify:track:0adTN3vBO3pimO3yfxm9vg,0.646
10,Montevallo,Sam Hunt,225693,False,https://api.spotify.com/v1/tracks/0xwPzLmBAYro8BUz7MrtAo,0xwPzLmBAYro8BUz7MrtAo,Make You Miss Me,73,,7,track,spotify:track:0xwPzLmBAYro8BUz7MrtAo,0.168,https://api.spotify.com/v1/audio-analysis/0xwPzLmBAYro8BUz7MrtAo,0.612,225693,0.468,0xwPzLmBAYro8BUz7MrtAo,0.0,7,0.112,-6.597,1,0.0314,146.026,4,https://api.spotify.com/v1/tracks/0xwPzLmBAYro8BUz7MrtAo,audio_features,spotify:track:0xwPzLmBAYro8BUz7MrtAo,0.167
11,The First Time,Kelsea Ballerini,194413,False,https://api.spotify.com/v1/tracks/2WaOQWSv0D1tZNxyLvnGAI,2WaOQWSv0D1tZNxyLvnGAI,Yeah Boy,75,https://p.scdn.co/mp3-preview/2f29ffb93c1b55a8e9dfbe35ce1db1d81e5dd405?cid=452833d434b043269289f61fa9bfbf09,11,track,spotify:track:2WaOQWSv0D1tZNxyLvnGAI,0.231,https://api.spotify.com/v1/audio-analysis/2WaOQWSv0D1tZNxyLvnGAI,0.589,194413,0.809,2WaOQWSv0D1tZNxyLvnGAI,0.0,3,0.0719,-5.292,1,0.0376,88.965,4,https://api.spotify.com/v1/tracks/2WaOQWSv0D1tZNxyLvnGAI,audio_features,spotify:track:2WaOQWSv0D1tZNxyLvnGAI,0.464
12,Kill The Lights,Luke Bryan,278640,False,https://api.spotify.com/v1/tracks/6nUKELHbV6Tdj5OuQbksKH,6nUKELHbV6Tdj5OuQbksKH,"Huntin', Fishin' And Lovin' Every Day",17,,12,track,spotify:track:6nUKELHbV6Tdj5OuQbksKH,0.141,https://api.spotify.com/v1/audio-analysis/6nUKELHbV6Tdj5OuQbksKH,0.512,278640,0.809,6nUKELHbV6Tdj5OuQbksKH,2.31e-05,0,0.13,-4.237,1,0.0335,154.156,4,https://api.spotify.com/v1/tracks/6nUKELHbV6Tdj5OuQbksKH,audio_features,spotify:track:6nUKELHbV6Tdj5OuQbksKH,0.433
13,Head Over Boots,Jon Pardi,205120,False,https://api.spotify.com/v1/tracks/1R9FxlRkvKtt36dtTHs93X,1R9FxlRkvKtt36dtTHs93X,Head Over Boots,15,,1,track,spotify:track:1R9FxlRkvKtt36dtTHs93X,0.0919,https://api.spotify.com/v1/audio-analysis/1R9FxlRkvKtt36dtTHs93X,0.637,205120,0.669,1R9FxlRkvKtt36dtTHs93X,0.0,7,0.103,-4.608,1,0.0237,108.078,4,https://api.spotify.com/v1/tracks/1R9FxlRkvKtt36dtTHs93X,audio_features,spotify:track:1R9FxlRkvKtt36dtTHs93X,0.645
