,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Make War,From First To Last,203448,True,https://api.spotify.com/v1/tracks/6GdEIwsXvpfda24vliflHo,6GdEIwsXvpfda24vliflHo,Make War,64,https://p.scdn.co/mp3-preview/5ca5a685bb37844218d2798416b4934fe300dc62?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:6GdEIwsXvpfda24vliflHo,3.02e-05,https://api.spotify.com/v1/audio-analysis/6GdEIwsXvpfda24vliflHo,0.446,203448,0.915,6GdEIwsXvpfda24vliflHo,0.0,7,0.481,-4.232,1,0.0416,174.065,4,https://api.spotify.com/v1/tracks/6GdEIwsXvpfda24vliflHo,audio_features,spotify:track:6GdEIwsXvpfda24vliflHo,0.306
1,Tell All Your Friends (Re-Issue),Taking Back Sunday,211546,False,https://api.spotify.com/v1/tracks/1aYWQrIT8XPdtV4hhUjczN,1aYWQrIT8XPdtV4hhUjczN,"Cute Without the ""E"" (Cut From the Team)",65,https://p.scdn.co/mp3-preview/875bf6905834c42298aff8c0f326a9550ff8bf0f?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:1aYWQrIT8XPdtV4hhUjczN,0.0394,https://api.spotify.com/v1/audio-analysis/1aYWQrIT8XPdtV4hhUjczN,0.402,211547,0.859,1aYWQrIT8XPdtV4hhUjczN,0.0,1,0.0745,-4.41,0,0.0466,95.31,4,https://api.spotify.com/v1/tracks/1aYWQrIT8XPdtV4hhUjczN,audio_features,spotify:track:1aYWQrIT8XPdtV4hhUjczN,0.518
3,Three Cheers For Sweet Revenge,My Chemical Romance,204733,False,https://api.spotify.com/v1/tracks/5dTHtzHFPyi8TlTtzoz1J9,5dTHtzHFPyi8TlTtzoz1J9,Helena (So Long & Goodnight),69,https://p.scdn.co/mp3-preview/3622f88f8e0796726eee55afc6b2843c48cf75af?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:5dTHtzHFPyi8TlTtzoz1J9,0.0142,https://api.spotify.com/v1/audio-analysis/5dTHtzHFPyi8TlTtzoz1J9,0.356,204733,0.96,5dTHtzHFPyi8TlTtzoz1J9,0.0,4,0.209,-3.487,1,0.104,125.921,4,https://api.spotify.com/v1/tracks/5dTHtzHFPyi8TlTtzoz1J9,audio_features,spotify:track:5dTHtzHFPyi8TlTtzoz1J9,0.0915
4,From Under The Cork Tree,Fall Out Boy,229093,False,https://api.spotify.com/v1/tracks/2TfSHkHiFO4gRztVIkggkE,2TfSHkHiFO4gRztVIkggkE,"Sugar, We're Goin Down",72,,4,track,spotify:track:2TfSHkHiFO4gRztVIkggkE,0.00898,https://api.spotify.com/v1/audio-analysis/2TfSHkHiFO4gRztVIkggkE,0.499,229093,0.824,2TfSHkHiFO4gRztVIkggkE,0.0,7,0.163,-4.741,1,0.0794,161.977,4,https://api.spotify.com/v1/tracks/2TfSHkHiFO4gRztVIkggkE,audio_features,spotify:track:2TfSHkHiFO4gRztVIkggkE,0.692
5,Deja Entendu,Brand New,186493,False,https://api.spotify.com/v1/tracks/0pvhEbASPopl8PVOXBvXrr,0pvhEbASPopl8PVOXBvXrr,Sic Transit Gloria ... Glory Fades,4,,2,track,spotify:track:0pvhEbASPopl8PVOXBvXrr,0.0124,https://api.spotify.com/v1/audio-analysis/0pvhEbASPopl8PVOXBvXrr,0.645,186493,0.72,0pvhEbASPopl8PVOXBvXrr,1.18e-06,8,0.502,-6.032,1,0.0399,92.799,4,https://api.spotify.com/v1/tracks/0pvhEbASPopl8PVOXBvXrr,audio_features,spotify:track:0pvhEbASPopl8PVOXBvXrr,0.764
6,The Rising Tide,Sunny Day Real Estate,295533,False,https://api.spotify.com/v1/tracks/5QxsyWK3UfLgEPTaAb5Xgq,5QxsyWK3UfLgEPTaAb5Xgq,Killed By An Angel,41,,1,track,spotify:track:5QxsyWK3UfLgEPTaAb5Xgq,0.000738,https://api.spotify.com/v1/audio-analysis/5QxsyWK3UfLgEPTaAb5Xgq,0.351,295533,0.905,5QxsyWK3UfLgEPTaAb5Xgq,0.000701,11,0.104,-5.382,0,0.0517,141.009,4,https://api.spotify.com/v1/tracks/5QxsyWK3UfLgEPTaAb5Xgq,audio_features,spotify:track:5QxsyWK3UfLgEPTaAb5Xgq,0.432
7,"A Mark, A Mission, A Brand, A Scar",Dashboard Confessional,186866,False,https://api.spotify.com/v1/tracks/6I1HRAkeErdwrOJIfRrfIO,6I1HRAkeErdwrOJIfRrfIO,Hands Down,58,,1,track,spotify:track:6I1HRAkeErdwrOJIfRrfIO,0.015,https://api.spotify.com/v1/audio-analysis/6I1HRAkeErdwrOJIfRrfIO,0.485,186867,0.82,6I1HRAkeErdwrOJIfRrfIO,2.81e-05,3,0.112,-4.085,1,0.0493,94.063,4,https://api.spotify.com/v1/tracks/6I1HRAkeErdwrOJIfRrfIO,audio_features,spotify:track:6I1HRAkeErdwrOJIfRrfIO,0.248
8,...Is A Real Boy,Say Anything,254955,False,https://api.spotify.com/v1/tracks/7ve7SjgFNCQiuwaYP6uERF,7ve7SjgFNCQiuwaYP6uERF,Alive With The Glory Of Love,57,https://p.scdn.co/mp3-preview/9df64d1cad98ded0f968f8ace6b0fa84e66667b4?cid=452833d434b043269289f61fa9bfbf09,4,track,spotify:track:7ve7SjgFNCQiuwaYP6uERF,0.0541,https://api.spotify.com/v1/audio-analysis/7ve7SjgFNCQiuwaYP6uERF,0.358,254955,0.912,7ve7SjgFNCQiuwaYP6uERF,0.0,9,0.183,-4.631,1,0.121,202.789,4,https://api.spotify.com/v1/tracks/7ve7SjgFNCQiuwaYP6uERF,audio_features,spotify:track:7ve7SjgFNCQiuwaYP6uERF,0.629
9,What It Is To Burn,Finch,269026,False,https://api.spotify.com/v1/tracks/2DGFNAg4pTPLFKPeQRbGDZ,2DGFNAg4pTPLFKPeQRbGDZ,What It Is To Burn - New Version,48,,13,track,spotify:track:2DGFNAg4pTPLFKPeQRbGDZ,2.04e-05,https://api.spotify.com/v1/audio-analysis/2DGFNAg4pTPLFKPeQRbGDZ,0.275,269027,0.773,2DGFNAg4pTPLFKPeQRbGDZ,3.6e-06,1,0.115,-4.638,1,0.0494,150.016,4,https://api.spotify.com/v1/tracks/2DGFNAg4pTPLFKPeQRbGDZ,audio_features,spotify:track:2DGFNAg4pTPLFKPeQRbGDZ,0.182
10,Anthology,Alien Ant Farm,195706,False,https://api.spotify.com/v1/tracks/0DVxWV6V1nWa7Ml68Frd3D,0DVxWV6V1nWa7Ml68Frd3D,Movies,50,,2,track,spotify:track:0DVxWV6V1nWa7Ml68Frd3D,0.000161,https://api.spotify.com/v1/audio-analysis/0DVxWV6V1nWa7Ml68Frd3D,0.547,195707,0.919,0DVxWV6V1nWa7Ml68Frd3D,0.001,4,0.197,-5.037,1,0.0571,112.889,4,https://api.spotify.com/v1/tracks/0DVxWV6V1nWa7Ml68Frd3D,audio_features,spotify:track:0DVxWV6V1nWa7Ml68Frd3D,0.531
