,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,ZABA,Glass Animals,289306,False,https://api.spotify.com/v1/tracks/1gk3FhAV07q9Jg77UxnVjX,1gk3FhAV07q9Jg77UxnVjX,Gooey,68,,4,track,spotify:track:1gk3FhAV07q9Jg77UxnVjX,0.726,https://api.spotify.com/v1/audio-analysis/1gk3FhAV07q9Jg77UxnVjX,0.49,289307,0.376,1gk3FhAV07q9Jg77UxnVjX,2.54e-05,11,0.0849,-13.463,0,0.0433,182.969,4,https://api.spotify.com/v1/tracks/1gk3FhAV07q9Jg77UxnVjX,audio_features,spotify:track:1gk3FhAV07q9Jg77UxnVjX,0.107
1,Mature Themes,Ariel Pink,287426,False,https://api.spotify.com/v1/tracks/2TUdxbIF3rpY887d8m0ZGV,2TUdxbIF3rpY887d8m0ZGV,Baby,60,https://p.scdn.co/mp3-preview/08dc36572cec683a016ee94cf0cc1b9a560d18e6?cid=452833d434b043269289f61fa9bfbf09,13,track,spotify:track:2TUdxbIF3rpY887d8m0ZGV,0.435,https://api.spotify.com/v1/audio-analysis/2TUdxbIF3rpY887d8m0ZGV,0.622,287427,0.253,2TUdxbIF3rpY887d8m0ZGV,0.471,2,0.0941,-14.36,1,0.0331,92.584,4,https://api.spotify.com/v1/tracks/2TUdxbIF3rpY887d8m0ZGV,audio_features,spotify:track:2TUdxbIF3rpY887d8m0ZGV,0.328
2,Nightlife,Phantogram,258186,False,https://api.spotify.com/v1/tracks/0UPsdEgJx6ypkfFUxD3ZHh,0UPsdEgJx6ypkfFUxD3ZHh,Don't Move,62,https://p.scdn.co/mp3-preview/449a5847540951e26c9af9322e52c98292855041?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:0UPsdEgJx6ypkfFUxD3ZHh,7.19e-05,https://api.spotify.com/v1/audio-analysis/0UPsdEgJx6ypkfFUxD3ZHh,0.558,258187,0.642,0UPsdEgJx6ypkfFUxD3ZHh,0.00746,5,0.201,-5.206,0,0.0321,99.977,4,https://api.spotify.com/v1/tracks/0UPsdEgJx6ypkfFUxD3ZHh,audio_features,spotify:track:0UPsdEgJx6ypkfFUxD3ZHh,0.492
3,Currents,Tame Impala,216320,True,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,6K4t31amVTZDgR3sKmwUJJ,The Less I Know The Better,72,,7,track,spotify:track:6K4t31amVTZDgR3sKmwUJJ,0.0132,https://api.spotify.com/v1/audio-analysis/6K4t31amVTZDgR3sKmwUJJ,0.64,216320,0.741,6K4t31amVTZDgR3sKmwUJJ,0.0112,1,0.128,-4.077,0,0.0285,116.887,4,https://api.spotify.com/v1/tracks/6K4t31amVTZDgR3sKmwUJJ,audio_features,spotify:track:6K4t31amVTZDgR3sKmwUJJ,0.76
4,Gorilla Manor,Local Natives,266053,False,https://api.spotify.com/v1/tracks/44DnIGEvTlhDkGv3xLSDcp,44DnIGEvTlhDkGv3xLSDcp,Wide Eyes,62,https://p.scdn.co/mp3-preview/f400ce8af05f57cde85d8c004e10875e29dbcfbd?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:44DnIGEvTlhDkGv3xLSDcp,0.00131,https://api.spotify.com/v1/audio-analysis/44DnIGEvTlhDkGv3xLSDcp,0.528,266053,0.86,44DnIGEvTlhDkGv3xLSDcp,0.25,11,0.251,-8.033,0,0.0397,123.12,4,https://api.spotify.com/v1/tracks/44DnIGEvTlhDkGv3xLSDcp,audio_features,spotify:track:44DnIGEvTlhDkGv3xLSDcp,0.495
5,Sunset Lover,Petit Biscuit,237792,False,https://api.spotify.com/v1/tracks/0hNduWmlWmEmuwEFcYvRu1,0hNduWmlWmEmuwEFcYvRu1,Sunset Lover,83,https://p.scdn.co/mp3-preview/548545f6df276b92cafd8a29996021ae40e73d1d?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:0hNduWmlWmEmuwEFcYvRu1,0.729,https://api.spotify.com/v1/audio-analysis/0hNduWmlWmEmuwEFcYvRu1,0.783,237793,0.467,0hNduWmlWmEmuwEFcYvRu1,0.809,6,0.109,-9.474,1,0.0503,90.838,4,https://api.spotify.com/v1/tracks/0hNduWmlWmEmuwEFcYvRu1,audio_features,spotify:track:0hNduWmlWmEmuwEFcYvRu1,0.236
6,I See You,The xx,233280,False,https://api.spotify.com/v1/tracks/044qU7kwVZaDwzWnRsmVVL,044qU7kwVZaDwzWnRsmVVL,I Dare You,69,https://p.scdn.co/mp3-preview/0448f1d3b5983b84b4ee09c230e98db3509effbd?cid=452833d434b043269289f61fa9bfbf09,9,track,spotify:track:044qU7kwVZaDwzWnRsmVVL,0.623,https://api.spotify.com/v1/audio-analysis/044qU7kwVZaDwzWnRsmVVL,0.752,233280,0.543,044qU7kwVZaDwzWnRsmVVL,0.0706,1,0.107,-9.483,1,0.0398,126.001,4,https://api.spotify.com/v1/tracks/044qU7kwVZaDwzWnRsmVVL,audio_features,spotify:track:044qU7kwVZaDwzWnRsmVVL,0.295
8,Little Neon Limelight,Houndmouth,239880,False,https://api.spotify.com/v1/tracks/2kG5litgxXvx6ZRgwO1v7W,2kG5litgxXvx6ZRgwO1v7W,Sedona,66,https://p.scdn.co/mp3-preview/92c941c847c2841d5a09cefc8c6f30fc3122163f?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:2kG5litgxXvx6ZRgwO1v7W,0.0372,https://api.spotify.com/v1/audio-analysis/2kG5litgxXvx6ZRgwO1v7W,0.396,239880,0.677,2kG5litgxXvx6ZRgwO1v7W,0.000137,3,0.112,-7.513,1,0.0354,135.177,4,https://api.spotify.com/v1/tracks/2kG5litgxXvx6ZRgwO1v7W,audio_features,spotify:track:2kG5litgxXvx6ZRgwO1v7W,0.253
10,Visions,Grimes,255320,False,https://api.spotify.com/v1/tracks/4sCYKMatyhazyy6r2N7Hp2,4sCYKMatyhazyy6r2N7Hp2,Genesis,57,https://p.scdn.co/mp3-preview/f65d1db711cd2b661a0ec3b96e0b5fa620184776?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:4sCYKMatyhazyy6r2N7Hp2,0.0764,https://api.spotify.com/v1/audio-analysis/4sCYKMatyhazyy6r2N7Hp2,0.611,255320,0.677,4sCYKMatyhazyy6r2N7Hp2,0.0698,10,0.241,-6.745,0,0.034,166.04,4,https://api.spotify.com/v1/tracks/4sCYKMatyhazyy6r2N7Hp2,audio_features,spotify:track:4sCYKMatyhazyy6r2N7Hp2,0.233
11,The Singles Collection,Silversun Pickups,354360,False,https://api.spotify.com/v1/tracks/7eZyj92v6bZsoQ85MxWZsO,7eZyj92v6bZsoQ85MxWZsO,Lazy Eye,59,https://p.scdn.co/mp3-preview/4596d41cd35db5dcdda009ea3af49dd6aa294320?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:7eZyj92v6bZsoQ85MxWZsO,0.0401,https://api.spotify.com/v1/audio-analysis/7eZyj92v6bZsoQ85MxWZsO,0.633,354360,0.831,7eZyj92v6bZsoQ85MxWZsO,0.693,4,0.117,-5.053,1,0.0461,127.397,4,https://api.spotify.com/v1/tracks/7eZyj92v6bZsoQ85MxWZsO,audio_features,spotify:track:7eZyj92v6bZsoQ85MxWZsO,0.252
12,Dreams,The Whitest Boy Alive,191173,False,https://api.spotify.com/v1/tracks/08HmtdAdRYiutP5WO02utw,08HmtdAdRYiutP5WO02utw,Burning,11,,1,track,spotify:track:08HmtdAdRYiutP5WO02utw,0.671,https://api.spotify.com/v1/audio-analysis/08HmtdAdRYiutP5WO02utw,0.721,191173,0.758,08HmtdAdRYiutP5WO02utw,0.891,11,0.133,-7.536,0,0.0372,150.825,4,https://api.spotify.com/v1/tracks/08HmtdAdRYiutP5WO02utw,audio_features,spotify:track:08HmtdAdRYiutP5WO02utw,0.864
13,Lewis Del Mar,Lewis Del Mar,243413,True,https://api.spotify.com/v1/tracks/4kK14radw0XfwxJDPt9tnP,4kK14radw0XfwxJDPt9tnP,Painting (Masterpiece),59,https://p.scdn.co/mp3-preview/862cb96402d381a5cfc6e4ad9e94a5d179394cd7?cid=452833d434b043269289f61fa9bfbf09,4,track,spotify:track:4kK14radw0XfwxJDPt9tnP,0.277,https://api.spotify.com/v1/audio-analysis/4kK14radw0XfwxJDPt9tnP,0.726,243413,0.861,4kK14radw0XfwxJDPt9tnP,4.12e-06,6,0.0534,-5.167,1,0.0695,91.966,4,https://api.spotify.com/v1/tracks/4kK14radw0XfwxJDPt9tnP,audio_features,spotify:track:4kK14radw0XfwxJDPt9tnP,0.71
14,Idle Labor,Craft Spells,240608,False,https://api.spotify.com/v1/tracks/5ozIJrlaCAf3g8MMyot483,5ozIJrlaCAf3g8MMyot483,After the Moment,58,https://p.scdn.co/mp3-preview/a4b01330abdc34c6c8d98cf941e19b8faa960c7c?cid=452833d434b043269289f61fa9bfbf09,6,track,spotify:track:5ozIJrlaCAf3g8MMyot483,0.0263,https://api.spotify.com/v1/audio-analysis/5ozIJrlaCAf3g8MMyot483,0.609,240608,0.874,5ozIJrlaCAf3g8MMyot483,4.99e-05,9,0.328,-3.889,1,0.0293,112.011,4,https://api.spotify.com/v1/tracks/5ozIJrlaCAf3g8MMyot483,audio_features,spotify:track:5ozIJrlaCAf3g8MMyot483,0.75
15,Master of My Make-Believe,Santigold,284400,False,https://api.spotify.com/v1/tracks/0t2QiRkpag0fAgs9zuCPlH,0t2QiRkpag0fAgs9zuCPlH,Disparate Youth,63,https://p.scdn.co/mp3-preview/25b3e506c1b2542efab2ffc754a2d6bddefe0cc6?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:0t2QiRkpag0fAgs9zuCPlH,0.0131,https://api.spotify.com/v1/audio-analysis/0t2QiRkpag0fAgs9zuCPlH,0.642,284400,0.931,0t2QiRkpag0fAgs9zuCPlH,0.825,1,0.215,-4.142,1,0.0417,152.005,4,https://api.spotify.com/v1/tracks/0t2QiRkpag0fAgs9zuCPlH,audio_features,spotify:track:0t2QiRkpag0fAgs9zuCPlH,0.537
16,Trouble,Cage The Elephant,225973,False,https://api.spotify.com/v1/tracks/3pxw9Agh9VB9kyx79REpRQ,3pxw9Agh9VB9kyx79REpRQ,Trouble,58,https://p.scdn.co/mp3-preview/809d189e8d99db8200488185750355465d6b64a5?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:3pxw9Agh9VB9kyx79REpRQ,0.392,https://api.spotify.com/v1/audio-analysis/3pxw9Agh9VB9kyx79REpRQ,0.47,225973,0.623,3pxw9Agh9VB9kyx79REpRQ,0.000453,0,0.0992,-5.655,1,0.0302,77.861,4,https://api.spotify.com/v1/tracks/3pxw9Agh9VB9kyx79REpRQ,audio_features,spotify:track:3pxw9Agh9VB9kyx79REpRQ,0.302
17,Brothers,The Black Keys,203773,False,https://api.spotify.com/v1/tracks/6dU5RxthbuaN31bRbEDlNw,6dU5RxthbuaN31bRbEDlNw,Everlasting Light,59,https://p.scdn.co/mp3-preview/7f9e5423c0c3cfa5603248154296255d8f2c75af?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:6dU5RxthbuaN31bRbEDlNw,0.127,https://api.spotify.com/v1/audio-analysis/6dU5RxthbuaN31bRbEDlNw,0.641,203773,0.582,6dU5RxthbuaN31bRbEDlNw,0.00632,4,0.354,-6.554,1,0.0483,181.039,4,https://api.spotify.com/v1/tracks/6dU5RxthbuaN31bRbEDlNw,audio_features,spotify:track:6dU5RxthbuaN31bRbEDlNw,0.725
18,Fire,Diskopunk,197749,False,https://api.spotify.com/v1/tracks/5jRJlGB5EP7HFKwYBKvlSA,5jRJlGB5EP7HFKwYBKvlSA,Fire,54,https://p.scdn.co/mp3-preview/6a08c9a7b02ad6c1ed278b83065f7538cd287cc4?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:5jRJlGB5EP7HFKwYBKvlSA,0.00697,https://api.spotify.com/v1/audio-analysis/5jRJlGB5EP7HFKwYBKvlSA,0.735,197750,0.798,5jRJlGB5EP7HFKwYBKvlSA,0.00968,9,0.194,-3.829,0,0.0578,115.98,4,https://api.spotify.com/v1/tracks/5jRJlGB5EP7HFKwYBKvlSA,audio_features,spotify:track:5jRJlGB5EP7HFKwYBKvlSA,0.494
19,Veckatimest,Grizzly Bear,243160,False,https://api.spotify.com/v1/tracks/0iTpQYzJnYgh7kIxyq8A2O,0iTpQYzJnYgh7kIxyq8A2O,Two Weeks,69,https://p.scdn.co/mp3-preview/d7918651392a70a6f338485def1982f1865c23b7?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:0iTpQYzJnYgh7kIxyq8A2O,0.289,https://api.spotify.com/v1/audio-analysis/0iTpQYzJnYgh7kIxyq8A2O,0.537,243160,0.712,0iTpQYzJnYgh7kIxyq8A2O,0.00568,5,0.08,-5.597,1,0.0286,159.871,4,https://api.spotify.com/v1/tracks/0iTpQYzJnYgh7kIxyq8A2O,audio_features,spotify:track:0iTpQYzJnYgh7kIxyq8A2O,0.701
20,Currents,Tame Impala,467586,False,https://api.spotify.com/v1/tracks/2X485T9Z5Ly0xyaghN73ed,2X485T9Z5Ly0xyaghN73ed,Let It Happen,66,,1,track,spotify:track:2X485T9Z5Ly0xyaghN73ed,0.00488,https://api.spotify.com/v1/audio-analysis/2X485T9Z5Ly0xyaghN73ed,0.601,467587,0.873,2X485T9Z5Ly0xyaghN73ed,0.0365,1,0.113,-5.866,0,0.0448,124.997,4,https://api.spotify.com/v1/tracks/2X485T9Z5Ly0xyaghN73ed,audio_features,spotify:track:2X485T9Z5Ly0xyaghN73ed,0.566
21,What Will We Be (Standard),Devendra Banhart,185786,False,https://api.spotify.com/v1/tracks/17XvbAd3K1GOjWy5uQvK2U,17XvbAd3K1GOjWy5uQvK2U,Baby,59,https://p.scdn.co/mp3-preview/985b135eb9d8f1cf41f8d9433e4b4f8b3f297176?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:17XvbAd3K1GOjWy5uQvK2U,0.0498,https://api.spotify.com/v1/audio-analysis/17XvbAd3K1GOjWy5uQvK2U,0.833,185787,0.325,17XvbAd3K1GOjWy5uQvK2U,0.0674,1,0.15,-10.093,0,0.0404,102.02,4,https://api.spotify.com/v1/tracks/17XvbAd3K1GOjWy5uQvK2U,audio_features,spotify:track:17XvbAd3K1GOjWy5uQvK2U,0.863
22,"Hurry Up, We're Dreaming",M83,241440,False,https://api.spotify.com/v1/tracks/1eyzqe2QqGZUmfcPZtrIyt,1eyzqe2QqGZUmfcPZtrIyt,Midnight City,70,https://p.scdn.co/mp3-preview/2620971cb1ef9fda9aa2d3a5ce3a74dc9be73dd2?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,0.0161,https://api.spotify.com/v1/audio-analysis/1eyzqe2QqGZUmfcPZtrIyt,0.526,241440,0.712,1eyzqe2QqGZUmfcPZtrIyt,0.0,11,0.179,-6.525,0,0.0356,105.009,4,https://api.spotify.com/v1/tracks/1eyzqe2QqGZUmfcPZtrIyt,audio_features,spotify:track:1eyzqe2QqGZUmfcPZtrIyt,0.299
23,"Oh, Inverted World",The Shins,231173,False,https://api.spotify.com/v1/tracks/5oUV6yWdDM0R9Q2CizRhIt,5oUV6yWdDM0R9Q2CizRhIt,New Slang,70,https://p.scdn.co/mp3-preview/cddd138adb6362fbce441a8d06acedbd960dc4d5?cid=452833d434b043269289f61fa9bfbf09,6,track,spotify:track:5oUV6yWdDM0R9Q2CizRhIt,0.605,https://api.spotify.com/v1/audio-analysis/5oUV6yWdDM0R9Q2CizRhIt,0.669,231173,0.389,5oUV6yWdDM0R9Q2CizRhIt,0.16,0,0.0905,-11.547,1,0.0306,130.015,4,https://api.spotify.com/v1/tracks/5oUV6yWdDM0R9Q2CizRhIt,audio_features,spotify:track:5oUV6yWdDM0R9Q2CizRhIt,0.642
24,Eyelid Movies,Phantogram,249066,False,https://api.spotify.com/v1/tracks/3498wF96LsgVgMkGmJzJOC,3498wF96LsgVgMkGmJzJOC,When I'm Small,61,https://p.scdn.co/mp3-preview/e6229c2b4d0bbe54ef3ae91a03b03ebaf518efeb?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:3498wF96LsgVgMkGmJzJOC,0.191,https://api.spotify.com/v1/audio-analysis/3498wF96LsgVgMkGmJzJOC,0.646,249067,0.758,3498wF96LsgVgMkGmJzJOC,0.097,10,0.103,-4.34,1,0.0314,91.998,4,https://api.spotify.com/v1/tracks/3498wF96LsgVgMkGmJzJOC,audio_features,spotify:track:3498wF96LsgVgMkGmJzJOC,0.432
