,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
1,All Your Fault: Pt. 1,"Bebe Rexha, Ty Dolla $ign",197253,True,https://api.spotify.com/v1/tracks/4ZJPwET9Jrgpkqi4Vo3Yg8,4ZJPwET9Jrgpkqi4Vo3Yg8,Bad Bitch (feat. Ty Dolla $ign),85,https://p.scdn.co/mp3-preview/9284a8a94b8c16eff6a396fceb0c485fc7496b51?cid=452833d434b043269289f61fa9bfbf09,6,track,spotify:track:4ZJPwET9Jrgpkqi4Vo3Yg8,0.0283,https://api.spotify.com/v1/audio-analysis/4ZJPwET9Jrgpkqi4Vo3Yg8,0.656,197253,0.615,4ZJPwET9Jrgpkqi4Vo3Yg8,0.0,5,0.234,-6.252,1,0.0539,139.91,4,https://api.spotify.com/v1/tracks/4ZJPwET9Jrgpkqi4Vo3Yg8,audio_features,spotify:track:4ZJPwET9Jrgpkqi4Vo3Yg8,0.364
2,Good Life (with G-Eazy & Kehlani),"G-Eazy, Kehlani",225525,False,https://api.spotify.com/v1/tracks/1Eck97uRMlprKOOJN9oO1E,1Eck97uRMlprKOOJN9oO1E,Good Life (with G-Eazy & Kehlani),83,https://p.scdn.co/mp3-preview/88d8d456dcf9b55e94b0f9a42ca1edaf15248738?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:1Eck97uRMlprKOOJN9oO1E,0.00464,https://api.spotify.com/v1/audio-analysis/1Eck97uRMlprKOOJN9oO1E,0.565,225526,0.771,1Eck97uRMlprKOOJN9oO1E,0.0,1,0.0568,-5.22,1,0.212,168.385,4,https://api.spotify.com/v1/tracks/1Eck97uRMlprKOOJN9oO1E,audio_features,spotify:track:1Eck97uRMlprKOOJN9oO1E,0.551
3,13 Reasons Why (A Netflix Original Series Soundtrack),Lord Huron,206933,False,https://api.spotify.com/v1/tracks/3FsBtu3gdlfZjBLXyDvmj1,3FsBtu3gdlfZjBLXyDvmj1,The Night We Met,32,,6,track,spotify:track:3FsBtu3gdlfZjBLXyDvmj1,0.97,https://api.spotify.com/v1/audio-analysis/3FsBtu3gdlfZjBLXyDvmj1,0.549,206933,0.371,3FsBtu3gdlfZjBLXyDvmj1,0.132,2,0.639,-9.56,1,0.0378,87.024,3,https://api.spotify.com/v1/tracks/3FsBtu3gdlfZjBLXyDvmj1,audio_features,spotify:track:3FsBtu3gdlfZjBLXyDvmj1,0.117
4,Obsession (feat. Jon Bellion),"Vice, Jon Bellion",221982,False,https://api.spotify.com/v1/tracks/542Xd5qDeLBvgXZXhfW7LE,542Xd5qDeLBvgXZXhfW7LE,Obsession (feat. Jon Bellion),84,https://p.scdn.co/mp3-preview/16ab1dd04110aa3f8770c046379d8a115134186d?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:542Xd5qDeLBvgXZXhfW7LE,0.00728,https://api.spotify.com/v1/audio-analysis/542Xd5qDeLBvgXZXhfW7LE,0.741,221983,0.559,542Xd5qDeLBvgXZXhfW7LE,0.000971,10,0.21,-7.775,1,0.03,101.999,4,https://api.spotify.com/v1/tracks/542Xd5qDeLBvgXZXhfW7LE,audio_features,spotify:track:542Xd5qDeLBvgXZXhfW7LE,0.441
5,Slow Hands,Niall Horan,188174,False,https://api.spotify.com/v1/tracks/27vTihlWXiz9f9lJM3XGVU,27vTihlWXiz9f9lJM3XGVU,Slow Hands,83,,1,track,spotify:track:27vTihlWXiz9f9lJM3XGVU,0.0133,https://api.spotify.com/v1/audio-analysis/27vTihlWXiz9f9lJM3XGVU,0.726,188174,0.429,27vTihlWXiz9f9lJM3XGVU,0.0,0,0.0574,-6.623,1,0.0519,85.899,4,https://api.spotify.com/v1/tracks/27vTihlWXiz9f9lJM3XGVU,audio_features,spotify:track:27vTihlWXiz9f9lJM3XGVU,0.874
6,So Good,"Clean Bandit, Zara Larsson",214866,False,https://api.spotify.com/v1/tracks/4SPLWgCPoKwULz2UTM8TKg,4SPLWgCPoKwULz2UTM8TKg,Symphony,41,,15,track,spotify:track:4SPLWgCPoKwULz2UTM8TKg,0.281,https://api.spotify.com/v1/audio-analysis/4SPLWgCPoKwULz2UTM8TKg,0.718,214867,0.609,4SPLWgCPoKwULz2UTM8TKg,3.29e-05,0,0.234,-4.699,0,0.0429,122.948,4,https://api.spotify.com/v1/tracks/4SPLWgCPoKwULz2UTM8TKg,audio_features,spotify:track:4SPLWgCPoKwULz2UTM8TKg,0.47
7,Memories...Do Not Open,The Chainsmokers,207520,True,https://api.spotify.com/v1/tracks/6cPyTS0Kk2sc4xQwC93kOg,6cPyTS0Kk2sc4xQwC93kOg,Break Up Every Night,84,https://p.scdn.co/mp3-preview/119d2078bf60742215150fde0c1ecd7237ef9bce?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:6cPyTS0Kk2sc4xQwC93kOg,0.00411,https://api.spotify.com/v1/audio-analysis/6cPyTS0Kk2sc4xQwC93kOg,0.624,207520,0.806,6cPyTS0Kk2sc4xQwC93kOg,0.0,1,0.0872,-5.957,1,0.0437,149.999,4,https://api.spotify.com/v1/tracks/6cPyTS0Kk2sc4xQwC93kOg,audio_features,spotify:track:6cPyTS0Kk2sc4xQwC93kOg,0.536
8,I'm the One,"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper, Lil Wayne",288876,True,https://api.spotify.com/v1/tracks/72Q0FQQo32KJloivv5xge2,72Q0FQQo32KJloivv5xge2,I'm the One,100,https://p.scdn.co/mp3-preview/f6fdecfbaae1ed54bcfbae1bc2b088e8807c9783?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:72Q0FQQo32KJloivv5xge2,0.0533,https://api.spotify.com/v1/audio-analysis/72Q0FQQo32KJloivv5xge2,0.599,288877,0.667,72Q0FQQo32KJloivv5xge2,0.0,7,0.134,-4.267,1,0.0367,80.984,4,https://api.spotify.com/v1/tracks/72Q0FQQo32KJloivv5xge2,audio_features,spotify:track:72Q0FQQo32KJloivv5xge2,0.811
9,Attention,Charlie Puth,211475,False,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,4iLqG9SeJSnt0cSPICSjxv,Attention,94,https://p.scdn.co/mp3-preview/e20bdb50a10a7c5ada4bd34252bed3bfa3823b7a?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:4iLqG9SeJSnt0cSPICSjxv,0.0969,https://api.spotify.com/v1/audio-analysis/4iLqG9SeJSnt0cSPICSjxv,0.774,211475,0.626,4iLqG9SeJSnt0cSPICSjxv,3.12e-05,3,0.0848,-4.432,0,0.0432,100.041,4,https://api.spotify.com/v1/tracks/4iLqG9SeJSnt0cSPICSjxv,audio_features,spotify:track:4iLqG9SeJSnt0cSPICSjxv,0.758
10,The Cure,Lady Gaga,211363,False,https://api.spotify.com/v1/tracks/51PIvodunv6NmX5250zxAh,51PIvodunv6NmX5250zxAh,The Cure,88,,1,track,spotify:track:51PIvodunv6NmX5250zxAh,0.0745,https://api.spotify.com/v1/audio-analysis/51PIvodunv6NmX5250zxAh,0.696,211364,0.503,51PIvodunv6NmX5250zxAh,0.0,8,0.0869,-4.842,1,0.0356,99.977,4,https://api.spotify.com/v1/tracks/51PIvodunv6NmX5250zxAh,audio_features,spotify:track:51PIvodunv6NmX5250zxAh,0.539
