,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,Voix Grave,"Johannes Brecht, Christian Prommer",598000,False,https://api.spotify.com/v1/tracks/1XJQ0Sjvo2FPNC1mNUpmMO,1XJQ0Sjvo2FPNC1mNUpmMO,Voix Grave - Johannes Brecht Version,41,https://p.scdn.co/mp3-preview/5132c6a344da3da1261f0c41b8774f407bd5af02?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:1XJQ0Sjvo2FPNC1mNUpmMO,0.000927,https://api.spotify.com/v1/audio-analysis/1XJQ0Sjvo2FPNC1mNUpmMO,0.713,598000,0.805,1XJQ0Sjvo2FPNC1mNUpmMO,0.814,7,0.158,-11.904,0,0.0479,123.994,4,https://api.spotify.com/v1/tracks/1XJQ0Sjvo2FPNC1mNUpmMO,audio_features,spotify:track:1XJQ0Sjvo2FPNC1mNUpmMO,0.326
1,Day for Night,Smalltown Collective,476097,False,https://api.spotify.com/v1/tracks/70iUrLHsC6ETdMjP0QBJfF,70iUrLHsC6ETdMjP0QBJfF,Day for Night,36,https://p.scdn.co/mp3-preview/ce027b914a4b2e3e3472458758365909089b1dfe?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:70iUrLHsC6ETdMjP0QBJfF,0.0229,https://api.spotify.com/v1/audio-analysis/70iUrLHsC6ETdMjP0QBJfF,0.835,476098,0.561,70iUrLHsC6ETdMjP0QBJfF,0.835,0,0.0888,-11.199,0,0.0894,123.004,4,https://api.spotify.com/v1/tracks/70iUrLHsC6ETdMjP0QBJfF,audio_features,spotify:track:70iUrLHsC6ETdMjP0QBJfF,0.156
2,The Idea,"Hyenah, Lazarusman",448955,False,https://api.spotify.com/v1/tracks/5ILFBWKGVySOJGFaqIOjkq,5ILFBWKGVySOJGFaqIOjkq,The Idea - Frankey & Sandrino Remix,37,https://p.scdn.co/mp3-preview/c2f2add9c46ae8be959095c0e8eeaf644c51b7c5?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:5ILFBWKGVySOJGFaqIOjkq,0.000503,https://api.spotify.com/v1/audio-analysis/5ILFBWKGVySOJGFaqIOjkq,0.783,448955,0.653,5ILFBWKGVySOJGFaqIOjkq,0.714,1,0.344,-9.818,0,0.062,120.993,4,https://api.spotify.com/v1/tracks/5ILFBWKGVySOJGFaqIOjkq,audio_features,spotify:track:5ILFBWKGVySOJGFaqIOjkq,0.583
3,Territory,The Blaze,321560,False,https://api.spotify.com/v1/tracks/397sfkANMRKEuchzPCvlFL,397sfkANMRKEuchzPCvlFL,Virile,46,https://p.scdn.co/mp3-preview/241be6cb838d101b380dc9df1771d0b9ae89a847?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:397sfkANMRKEuchzPCvlFL,0.0442,https://api.spotify.com/v1/audio-analysis/397sfkANMRKEuchzPCvlFL,0.679,321560,0.462,397sfkANMRKEuchzPCvlFL,0.793,3,0.0846,-10.128,1,0.0326,120.012,4,https://api.spotify.com/v1/tracks/397sfkANMRKEuchzPCvlFL,audio_features,spotify:track:397sfkANMRKEuchzPCvlFL,0.289
4,Starlings,N'to,342063,False,https://api.spotify.com/v1/tracks/0IH1o2VJMqybzQs1QeJnCM,0IH1o2VJMqybzQs1QeJnCM,Starlings,40,https://p.scdn.co/mp3-preview/5ef510c3efb5bd81575498b310e7cafeb83bc237?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:0IH1o2VJMqybzQs1QeJnCM,0.0177,https://api.spotify.com/v1/audio-analysis/0IH1o2VJMqybzQs1QeJnCM,0.729,342063,0.782,0IH1o2VJMqybzQs1QeJnCM,0.801,10,0.0916,-12.038,0,0.047,120.027,4,https://api.spotify.com/v1/tracks/0IH1o2VJMqybzQs1QeJnCM,audio_features,spotify:track:0IH1o2VJMqybzQs1QeJnCM,0.179
5,Dent,Notize,376688,False,https://api.spotify.com/v1/tracks/6lz1wGZEYPrKjCM1d4rxZr,6lz1wGZEYPrKjCM1d4rxZr,Hush - Original Mix,37,https://p.scdn.co/mp3-preview/5defbdf6d01cdc61fa3532942f5451b7a847878c?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:6lz1wGZEYPrKjCM1d4rxZr,0.00116,https://api.spotify.com/v1/audio-analysis/6lz1wGZEYPrKjCM1d4rxZr,0.759,376689,0.748,6lz1wGZEYPrKjCM1d4rxZr,0.862,3,0.199,-11.766,1,0.0703,123.026,4,https://api.spotify.com/v1/tracks/6lz1wGZEYPrKjCM1d4rxZr,audio_features,spotify:track:6lz1wGZEYPrKjCM1d4rxZr,0.672
6,More Life,"Drake, Black Coffee, Jorja Smith",250337,True,https://api.spotify.com/v1/tracks/5WHVJ7MILL1r5xs8hDfJ4i,5WHVJ7MILL1r5xs8hDfJ4i,Get It Together,76,,5,track,spotify:track:5WHVJ7MILL1r5xs8hDfJ4i,0.0945,https://api.spotify.com/v1/audio-analysis/5WHVJ7MILL1r5xs8hDfJ4i,0.781,250337,0.721,5WHVJ7MILL1r5xs8hDfJ4i,0.391,5,0.104,-9.133,0,0.0514,123.011,4,https://api.spotify.com/v1/tracks/5WHVJ7MILL1r5xs8hDfJ4i,audio_features,spotify:track:5WHVJ7MILL1r5xs8hDfJ4i,0.849
7,Machines,Tensnake,286849,False,https://api.spotify.com/v1/tracks/2VaK08wFMkSM34qwlp8uUl,2VaK08wFMkSM34qwlp8uUl,All In All,39,https://p.scdn.co/mp3-preview/4f1b791e65a45efad2f2f5602cec93bc3d68d08d?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:2VaK08wFMkSM34qwlp8uUl,0.0255,https://api.spotify.com/v1/audio-analysis/2VaK08wFMkSM34qwlp8uUl,0.783,286850,0.657,2VaK08wFMkSM34qwlp8uUl,0.786,1,0.105,-9.137,1,0.0506,118.987,4,https://api.spotify.com/v1/tracks/2VaK08wFMkSM34qwlp8uUl,audio_features,spotify:track:2VaK08wFMkSM34qwlp8uUl,0.665
8,Temporary Secretary,Riton,271766,False,https://api.spotify.com/v1/tracks/6LvLkHVkbryXJMxPg8OiDe,6LvLkHVkbryXJMxPg8OiDe,Temporary Secretary,34,,1,track,spotify:track:6LvLkHVkbryXJMxPg8OiDe,0.0151,https://api.spotify.com/v1/audio-analysis/6LvLkHVkbryXJMxPg8OiDe,0.806,271766,0.955,6LvLkHVkbryXJMxPg8OiDe,0.876,6,0.312,-7.344,0,0.0379,121.993,4,https://api.spotify.com/v1/tracks/6LvLkHVkbryXJMxPg8OiDe,audio_features,spotify:track:6LvLkHVkbryXJMxPg8OiDe,0.0648
9,"The Many Shades Of Soul Notes, Volume Two",Adryiano,410070,False,https://api.spotify.com/v1/tracks/4tVlAl4RX2T5Xgz1jqar09,4tVlAl4RX2T5Xgz1jqar09,On My Side,39,https://p.scdn.co/mp3-preview/a6f5693dc004534b08b2d3b4ae4c7e67e20fe70b?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:4tVlAl4RX2T5Xgz1jqar09,0.0281,https://api.spotify.com/v1/audio-analysis/4tVlAl4RX2T5Xgz1jqar09,0.868,410070,0.582,4tVlAl4RX2T5Xgz1jqar09,0.696,5,0.318,-10.667,0,0.0551,122.975,4,https://api.spotify.com/v1/tracks/4tVlAl4RX2T5Xgz1jqar09,audio_features,spotify:track:4tVlAl4RX2T5Xgz1jqar09,0.309
