,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,The Last Stand,Sabaton,238517,False,https://api.spotify.com/v1/tracks/4luL1R4A2u0nesFPaJX0s8,4luL1R4A2u0nesFPaJX0s8,The Last Stand,55,https://p.scdn.co/mp3-preview/4a01e6482341dd3cb514912629eba8660f6ccf75?cid=452833d434b043269289f61fa9bfbf09,7,track,spotify:track:4luL1R4A2u0nesFPaJX0s8,0.00443,https://api.spotify.com/v1/audio-analysis/4luL1R4A2u0nesFPaJX0s8,0.511,238518,0.947,4luL1R4A2u0nesFPaJX0s8,0.0,7,0.117,-4.917,0,0.0457,104.046,4,https://api.spotify.com/v1/tracks/4luL1R4A2u0nesFPaJX0s8,audio_features,spotify:track:4luL1R4A2u0nesFPaJX0s8,0.491
1,When Sparks Ignite,Darkhaus,248960,False,https://api.spotify.com/v1/tracks/4lzDJauxyAWzUNNmwImSkJ,4lzDJauxyAWzUNNmwImSkJ,After The Heartache,36,https://p.scdn.co/mp3-preview/c9ff499047d66c3f9b595e0a2ba6cf473466518f?cid=452833d434b043269289f61fa9bfbf09,5,track,spotify:track:4lzDJauxyAWzUNNmwImSkJ,0.000144,https://api.spotify.com/v1/audio-analysis/4lzDJauxyAWzUNNmwImSkJ,0.594,248960,0.893,4lzDJauxyAWzUNNmwImSkJ,0.000958,6,0.151,-4.478,0,0.0405,128.017,4,https://api.spotify.com/v1/tracks/4lzDJauxyAWzUNNmwImSkJ,audio_features,spotify:track:4lzDJauxyAWzUNNmwImSkJ,0.774
2,The Inner Sanctum,Saxon,209773,False,https://api.spotify.com/v1/tracks/0htcfA4rJdCeozrai9MEM7,0htcfA4rJdCeozrai9MEM7,Let Me Feel Your Power,0,,3,track,spotify:track:0htcfA4rJdCeozrai9MEM7,9.74e-05,https://api.spotify.com/v1/audio-analysis/0htcfA4rJdCeozrai9MEM7,0.278,209773,0.995,0htcfA4rJdCeozrai9MEM7,0.000135,8,0.295,-3.641,0,0.0756,174.994,4,https://api.spotify.com/v1/tracks/0htcfA4rJdCeozrai9MEM7,audio_features,spotify:track:0htcfA4rJdCeozrai9MEM7,0.0691
3,Bringer of Pain,Battle Beast,273520,False,https://api.spotify.com/v1/tracks/1wpiJznxsgVPfWS8Qepxcj,1wpiJznxsgVPfWS8Qepxcj,King for a Day,49,https://p.scdn.co/mp3-preview/9529722c396dec33e44024334a7717d602ad3d23?cid=452833d434b043269289f61fa9bfbf09,3,track,spotify:track:1wpiJznxsgVPfWS8Qepxcj,0.00112,https://api.spotify.com/v1/audio-analysis/1wpiJznxsgVPfWS8Qepxcj,0.608,273520,0.922,1wpiJznxsgVPfWS8Qepxcj,0.000212,6,0.312,-5.524,0,0.0501,104.99,4,https://api.spotify.com/v1/tracks/1wpiJznxsgVPfWS8Qepxcj,audio_features,spotify:track:1wpiJznxsgVPfWS8Qepxcj,0.775
4,Inverted Grasp of Balance,Monte Pittman,260814,False,https://api.spotify.com/v1/tracks/53GyVN1pryld91E1ksDxgW,53GyVN1pryld91E1ksDxgW,Arisen in Broad Daylight,32,https://p.scdn.co/mp3-preview/e75e2df9ff92dd616aea55d5957ee7bb6cb3a2c0?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:53GyVN1pryld91E1ksDxgW,0.000471,https://api.spotify.com/v1/audio-analysis/53GyVN1pryld91E1ksDxgW,0.435,260814,0.985,53GyVN1pryld91E1ksDxgW,0.000705,1,0.695,-4.259,1,0.233,172.982,4,https://api.spotify.com/v1/tracks/53GyVN1pryld91E1ksDxgW,audio_features,spotify:track:53GyVN1pryld91E1ksDxgW,0.32
5,Steel Meets Steel: 10 Years of Glory,Hammerfall,270233,False,https://api.spotify.com/v1/tracks/1ieKy4BjEOZt5Se6V6e7sD,1ieKy4BjEOZt5Se6V6e7sD,Last Man Standing,44,https://p.scdn.co/mp3-preview/7e7b3145e2dc39b504a577b90ebbccfc7a224947?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:1ieKy4BjEOZt5Se6V6e7sD,0.0447,https://api.spotify.com/v1/audio-analysis/1ieKy4BjEOZt5Se6V6e7sD,0.533,270233,0.803,1ieKy4BjEOZt5Se6V6e7sD,0.0,2,0.392,-6.702,0,0.0376,109.998,4,https://api.spotify.com/v1/tracks/1ieKy4BjEOZt5Se6V6e7sD,audio_features,spotify:track:1ieKy4BjEOZt5Se6V6e7sD,0.172
6,Disciples of the Sun,Pyramaze,262320,False,https://api.spotify.com/v1/tracks/6QBNeP7vcWqbH4hXkx3dhs,6QBNeP7vcWqbH4hXkx3dhs,Back for More,37,https://p.scdn.co/mp3-preview/afb2b4f31a41f71eae3d77e1d6d4988a15283f5a?cid=452833d434b043269289f61fa9bfbf09,4,track,spotify:track:6QBNeP7vcWqbH4hXkx3dhs,4.9e-05,https://api.spotify.com/v1/audio-analysis/6QBNeP7vcWqbH4hXkx3dhs,0.383,262320,0.988,6QBNeP7vcWqbH4hXkx3dhs,0.035,4,0.352,-4.869,0,0.133,148.038,4,https://api.spotify.com/v1/tracks/6QBNeP7vcWqbH4hXkx3dhs,audio_features,spotify:track:6QBNeP7vcWqbH4hXkx3dhs,0.201
7,Take A Look In The Mirror,Korn,244493,False,https://api.spotify.com/v1/tracks/16Z6q8BukGaCFUZZTUs90n,16Z6q8BukGaCFUZZTUs90n,Did My Time,7,https://p.scdn.co/mp3-preview/d1a528088ad1fc72ca1936a3db129af2673f3dc4?cid=452833d434b043269289f61fa9bfbf09,6,track,spotify:track:16Z6q8BukGaCFUZZTUs90n,5.9e-05,https://api.spotify.com/v1/audio-analysis/16Z6q8BukGaCFUZZTUs90n,0.546,244493,0.864,16Z6q8BukGaCFUZZTUs90n,0.00224,1,0.304,-3.893,1,0.0475,93.022,4,https://api.spotify.com/v1/tracks/16Z6q8BukGaCFUZZTUs90n,audio_features,spotify:track:16Z6q8BukGaCFUZZTUs90n,0.256
8,Immortals,Firewind,232080,False,https://api.spotify.com/v1/tracks/2kKTBbcLTclXiiaP02Pgq1,2kKTBbcLTclXiiaP02Pgq1,We Defy,36,https://p.scdn.co/mp3-preview/3ee75f7d29faca390d6d592bb238119fa64db1cf?cid=452833d434b043269289f61fa9bfbf09,2,track,spotify:track:2kKTBbcLTclXiiaP02Pgq1,1.8e-06,https://api.spotify.com/v1/audio-analysis/2kKTBbcLTclXiiaP02Pgq1,0.438,232080,0.987,2kKTBbcLTclXiiaP02Pgq1,0.0499,2,0.529,-4.45,1,0.181,142.468,3,https://api.spotify.com/v1/tracks/2kKTBbcLTclXiiaP02Pgq1,audio_features,spotify:track:2kKTBbcLTclXiiaP02Pgq1,0.165
9,We Will Never Die,Days Of Jupiter,300800,False,https://api.spotify.com/v1/tracks/5A4MWD5i4FF4K36iG66xzF,5A4MWD5i4FF4K36iG66xzF,We Will Never Die,31,https://p.scdn.co/mp3-preview/99dc689b1d8cdeaecb6c8db4b2ae17c03fcdfe52?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:5A4MWD5i4FF4K36iG66xzF,0.000333,https://api.spotify.com/v1/audio-analysis/5A4MWD5i4FF4K36iG66xzF,0.37,300800,0.925,5A4MWD5i4FF4K36iG66xzF,0.00678,4,0.0913,-5.443,0,0.0725,166.99,4,https://api.spotify.com/v1/tracks/5A4MWD5i4FF4K36iG66xzF,audio_features,spotify:track:5A4MWD5i4FF4K36iG66xzF,0.324
