,album,artists,duration_ms,explicit,href,id,name,popularity,preview_url,track_number,type,uri,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
0,XO TOUR Llif3,Lil Uzi Vert,182706,True,https://api.spotify.com/v1/tracks/2eMwDehkIC1j68U6FA3Eiq,2eMwDehkIC1j68U6FA3Eiq,XO TOUR Llif3,94,https://p.scdn.co/mp3-preview/7add10ee576e9017030c09aa6d8bcaf682714859?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:2eMwDehkIC1j68U6FA3Eiq,0.00264,https://api.spotify.com/v1/audio-analysis/2eMwDehkIC1j68U6FA3Eiq,0.732,182707,0.75,2eMwDehkIC1j68U6FA3Eiq,0.0,11,0.109,-6.366,0,0.231,155.096,4,https://api.spotify.com/v1/tracks/2eMwDehkIC1j68U6FA3Eiq,audio_features,spotify:track:2eMwDehkIC1j68U6FA3Eiq,0.392
1,4 AM,"2 Chainz, Travis Scott",255557,True,https://api.spotify.com/v1/tracks/4r4PJQBHAE0bIKCjunhTgd,4r4PJQBHAE0bIKCjunhTgd,4 AM,0,,1,track,spotify:track:4r4PJQBHAE0bIKCjunhTgd,0.141,https://api.spotify.com/v1/audio-analysis/4r4PJQBHAE0bIKCjunhTgd,0.801,255557,0.502,4r4PJQBHAE0bIKCjunhTgd,0.0,1,0.153,-7.169,1,0.408,75.019,4,https://api.spotify.com/v1/tracks/4r4PJQBHAE0bIKCjunhTgd,audio_features,spotify:track:4r4PJQBHAE0bIKCjunhTgd,0.214
3,Culture,"Migos, Gucci Mane",304041,True,https://api.spotify.com/v1/tracks/6p8NuHm8uCGnn2Dtbtf7zE,6p8NuHm8uCGnn2Dtbtf7zE,Slippery (feat. Gucci Mane),86,https://p.scdn.co/mp3-preview/25bf4c7c13f59a0bd7f0ce023a524892a7216872?cid=452833d434b043269289f61fa9bfbf09,6,track,spotify:track:6p8NuHm8uCGnn2Dtbtf7zE,0.307,https://api.spotify.com/v1/audio-analysis/6p8NuHm8uCGnn2Dtbtf7zE,0.92,304041,0.674,6p8NuHm8uCGnn2Dtbtf7zE,0.0,1,0.104,-5.662,0,0.264,141.967,4,https://api.spotify.com/v1/tracks/6p8NuHm8uCGnn2Dtbtf7zE,audio_features,spotify:track:6p8NuHm8uCGnn2Dtbtf7zE,0.737
4,Butterfly Effect,Travis Scott,191773,False,https://api.spotify.com/v1/tracks/1yxgsra98r3qAtxqiGZPiX,1yxgsra98r3qAtxqiGZPiX,Butterfly Effect,78,https://p.scdn.co/mp3-preview/281accf9a592eac9ba0927c92147a5ba8115b372?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:1yxgsra98r3qAtxqiGZPiX,0.0249,https://api.spotify.com/v1/audio-analysis/1yxgsra98r3qAtxqiGZPiX,0.814,191773,0.522,1yxgsra98r3qAtxqiGZPiX,0.0,1,0.111,-7.946,0,0.0715,141.012,4,https://api.spotify.com/v1/tracks/1yxgsra98r3qAtxqiGZPiX,audio_features,spotify:track:1yxgsra98r3qAtxqiGZPiX,0.156
5,DAMN.,Kendrick Lamar,177000,True,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,7KXjTSCq5nL1LoYtL7XAwS,HUMBLE.,95,,8,track,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.000259,https://api.spotify.com/v1/audio-analysis/7KXjTSCq5nL1LoYtL7XAwS,0.904,177000,0.611,7KXjTSCq5nL1LoYtL7XAwS,2.03e-05,1,0.0976,-6.842,0,0.0888,150.02,4,https://api.spotify.com/v1/tracks/7KXjTSCq5nL1LoYtL7XAwS,audio_features,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,0.427
6,Droptopwop,"Gucci Mane, Offset",205714,True,https://api.spotify.com/v1/tracks/2XaInsPPUkZRkY4uFJ3AHK,2XaInsPPUkZRkY4uFJ3AHK,Met Gala (feat. Offset),72,https://p.scdn.co/mp3-preview/2e5b265dbe3712078fed4d4acc1f673890494a98?cid=452833d434b043269289f61fa9bfbf09,5,track,spotify:track:2XaInsPPUkZRkY4uFJ3AHK,0.0264,https://api.spotify.com/v1/audio-analysis/2XaInsPPUkZRkY4uFJ3AHK,0.813,205714,0.453,2XaInsPPUkZRkY4uFJ3AHK,0.00551,2,0.149,-11.97,1,0.279,140.032,4,https://api.spotify.com/v1/tracks/2XaInsPPUkZRkY4uFJ3AHK,audio_features,spotify:track:2XaInsPPUkZRkY4uFJ3AHK,0.218
7,More Life,"Drake, Quavo, Travis Scott",236614,True,https://api.spotify.com/v1/tracks/2bjwRfXMk4uRgOD9IBYl9h,2bjwRfXMk4uRgOD9IBYl9h,Portland,88,,11,track,spotify:track:2bjwRfXMk4uRgOD9IBYl9h,0.0143,https://api.spotify.com/v1/audio-analysis/2bjwRfXMk4uRgOD9IBYl9h,0.924,236615,0.444,2bjwRfXMk4uRgOD9IBYl9h,0.0,1,0.26,-8.227,1,0.243,136.088,4,https://api.spotify.com/v1/tracks/2bjwRfXMk4uRgOD9IBYl9h,audio_features,spotify:track:2bjwRfXMk4uRgOD9IBYl9h,0.323
8,True to Self,Bryson Tiller,246040,True,https://api.spotify.com/v1/tracks/6dxU7Xf9j2yNI7aCcT8W1g,6dxU7Xf9j2yNI7aCcT8W1g,Stay Blessed,70,https://p.scdn.co/mp3-preview/3bd76bde75b629fb2fc1389eee84d63c6ddae157?cid=452833d434b043269289f61fa9bfbf09,13,track,spotify:track:6dxU7Xf9j2yNI7aCcT8W1g,0.187,https://api.spotify.com/v1/audio-analysis/6dxU7Xf9j2yNI7aCcT8W1g,0.526,246040,0.485,6dxU7Xf9j2yNI7aCcT8W1g,0.0,5,0.171,-10.355,0,0.452,157.683,4,https://api.spotify.com/v1/tracks/6dxU7Xf9j2yNI7aCcT8W1g,audio_features,spotify:track:6dxU7Xf9j2yNI7aCcT8W1g,0.277
9,Drowning (feat. Kodak Black),"A Boogie Wit da Hoodie, Kodak Black",209269,True,https://api.spotify.com/v1/tracks/3LnOF5n1GOs01siYZXzS3p,3LnOF5n1GOs01siYZXzS3p,Drowning (feat. Kodak Black),86,https://p.scdn.co/mp3-preview/eddebe070cb8339e7f04ca7dce27052d090e277f?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:3LnOF5n1GOs01siYZXzS3p,0.501,https://api.spotify.com/v1/audio-analysis/3LnOF5n1GOs01siYZXzS3p,0.839,209269,0.81,3LnOF5n1GOs01siYZXzS3p,0.0,5,0.117,-5.274,0,0.0567,129.014,4,https://api.spotify.com/v1/tracks/3LnOF5n1GOs01siYZXzS3p,audio_features,spotify:track:3LnOF5n1GOs01siYZXzS3p,0.807
10,Tunnel Vision,Kodak Black,268186,True,https://api.spotify.com/v1/tracks/2BoS7pU92MQtynhQ0cZOLT,2BoS7pU92MQtynhQ0cZOLT,Tunnel Vision,80,https://p.scdn.co/mp3-preview/39e131a9b6a70f0ebb13a6b4ae5a1e530d5f812f?cid=452833d434b043269289f61fa9bfbf09,1,track,spotify:track:2BoS7pU92MQtynhQ0cZOLT,0.0576,https://api.spotify.com/v1/audio-analysis/2BoS7pU92MQtynhQ0cZOLT,0.497,268187,0.489,2BoS7pU92MQtynhQ0cZOLT,9.91e-05,11,0.122,-7.724,0,0.294,171.853,4,https://api.spotify.com/v1/tracks/2BoS7pU92MQtynhQ0cZOLT,audio_features,spotify:track:2BoS7pU92MQtynhQ0cZOLT,0.231
